"feature","group","mean_in","mean_out","mean_diff","pval","padj"
"diversity.cdr3_len_mean","healthy",14.021,12.7756666666667,1.24533333333333,2.35943620197077e-09,1.15350268596141e-08
"selection.n_insertion_proxy","healthy",4.021,2.77566666666667,1.24533333333333,2.35943509687642e-09,1.15350268596141e-08
"diversity.shannon","infection",4.63513404023896,5.19960326448962,-0.564469224250659,2.35943509687642e-09,1.15350268596141e-08
"diversity.clonality","infection",0.187357852296366,0.0883938355655765,0.0989640167307892,2.35943509687642e-09,1.15350268596141e-08
"diversity.powerlaw_a","infection",1.20055477387366,0.766573388957311,0.433981384916347,2.35943509687642e-09,1.15350268596141e-08
"selection.cdr3_hydro_mean","infection",-0.00121113277489055,-0.139821498622636,0.138610365847746,2.35943509687642e-09,1.15350268596141e-08
"convergence.gini","infection",0.709239366951236,0.469218807180203,0.240020559771033,2.35943509687642e-09,1.15350268596141e-08
"convergence.diversity_collapse","infection",0.707029044353464,0.142559820102805,0.564469224250659,2.35943509687642e-09,1.15350268596141e-08
"motif.motif_pc1","autoimmune",-24.1087552892329,8.03625176307761,-32.1450070523106,2.35943509687642e-09,1.15350268596141e-08
"diversity.cdr3_len_mean","autoimmune",12.21,13.3793333333333,-1.16933333333333,2.35943509687642e-09,1.15350268596141e-08
"selection.n_insertion_proxy","autoimmune",2.21,3.37933333333333,-1.16933333333333,2.35943509687642e-09,1.15350268596141e-08
"convergence.top_clone_frac","autoimmune",0.0287506253464368,0.0214252065066217,0.00732541883981513,2.35943731219379e-09,1.15350268596141e-08
"diversity.shannon","tumor",5.49917506747178,4.91158958874535,0.587585478726431,2.35943509687642e-09,1.15350268596141e-08
"diversity.simpson","tumor",0.994703865423632,0.987775640591669,0.00692822483196276,2.35943509687642e-09,1.15350268596141e-08
"diversity.clonality","tumor",0.0358722318204732,0.138889042390874,-0.103016810570401,2.35943509687642e-09,1.15350268596141e-08
"diversity.powerlaw_a","tumor",0.48799940247511,1.00409184609016,-0.516092443615051,2.35943509687642e-09,1.15350268596141e-08
"convergence.gini","tumor",0.296006522217847,0.606963088758,-0.310956566540152,2.35943509687642e-09,1.15350268596141e-08
"convergence.diversity_collapse","tumor",-0.157011982879353,0.430573495847077,-0.58758547872643,2.35943509687642e-09,1.15350268596141e-08
"selection.cdr3_charge_mean","autoimmune",-0.00118414981919239,0.0205431737783582,-0.0217273235975506,4.71887019375285e-09,2.07630288525125e-08
"diversity.cdr3_len_sd","tumor",2.25402999989792,1.87317106803787,0.380858931860049,4.71887019375285e-09,2.07630288525125e-08
"selection.cdr3_hydro_mean","healthy",-0.197985561898112,-0.0742300222482292,-0.123755539649883,2.28865204397013e-07,9.5905418985415e-07
"diversity.cdr3_len_sd","infection",1.75021164681909,2.04111051906414,-0.290898872245053,3.27961478465823e-07,1.31184591386329e-06
"diversity.simpson","infection",0.984774725847167,0.991085353783823,-0.00631062793665615,5.73342728540971e-06,2.19365913528719e-05
"selection.cdr3_charge_sd","autoimmune",0.122383989945915,0.114082535287191,0.00830145465872402,7.03040875816268e-05,0.000257781654465965
"motif.motif_pc1","healthy",13.2622371748501,-4.42074572495008,17.6829828998002,0.000167399560688285,0.000589246453622764
"convergence.top_clone_frac","tumor",0.018439060513152,0.0248623947843833,-0.00642333427123127,0.000197062378726216,0.000666980358765653
